Address 1,Address 2,Address 3,Country,Full Address,Asset Description,"Additional Asset
Description","Number of
Completed Units",Receiver's Firm,Receiver's Firm Web Address
Upper Abbey Street,,Dublin 1,Ireland,"Upper Abbey Street, Dublin 1, Ireland",Development - Not Commenced,,,PwC,www.pwc.com/ie
Upper Dorset Street,,Dublin 1,Ireland,"Upper Dorset Street, Dublin 1, Ireland",Mixed Use,,Multiple,DTZ Sherry FitzGerald,www.dtz.ie
Parkview,Finglas,Dublin 11,Ireland,"Parkview, Finglas, Dublin 11, Ireland",Development - Commenced,,,Grant Thornton,www.grantthornton.ie
"Centrepoint Business
Park",Clondalkin,Dublin 12,Ireland,"Centrepoint Business
Park, Clondalkin, Dublin 12, Ireland",Office,,Single,Grant Thornton,www.grantthornton.ie
Davitt Road,Crumlin,Dublin 12,Ireland,"Davitt Road, Crumlin, Dublin 12, Ireland",Development - Not Commenced,,,Deloitte,www.deloitte.com/ie
Drimagh Road,Drimnagh,Dublin 12,Ireland,"Drimagh Road, Drimnagh, Dublin 12, Ireland",Development - Not Commenced,,,Savills,www.savills.ie
Cromwellsfort Road,Walkinstown,Dublin 12,Ireland,"Cromwellsfort Road, Walkinstown, Dublin 12, Ireland",Retail,,Multiple,"Russell Brennan Keane
Corporate Recovery",www.rbk.ie
"Certain Assets at
Howth Junction
Court",Kilbarrack Road,Dublin 13,Ireland,"Certain Assets at
Howth Junction
Court, Kilbarrack Road, Dublin 13, Ireland",Residential,,Multiple,Ferris & Associates,N/A
Hazel Brook Square,Churchtown,Dublin 14,Ireland,"Hazel Brook Square, Churchtown, Dublin 14, Ireland",Development - Commenced,,,Mazars,www.mazars.ie
Hazel Brook Square,Churchtown,Dublin 14,Ireland,"Hazel Brook Square, Churchtown, Dublin 14, Ireland",Residential,,Multiple,Mazars,www.mazars.ie
Airfield,Dundrum,Dublin 14,Ireland,"Airfield, Dundrum, Dublin 14, Ireland",Development - Not Commenced,,,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Whitechurch,Rathfarnham,Dublin 14,Ireland,"Whitechurch, Rathfarnham, Dublin 14, Ireland",Development - Not Commenced,,,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
"Certain Residential
Units at Loreto
Abbey",Rathfarnham,Dublin 14,Ireland,"Certain Residential
Units at Loreto
Abbey, Rathfarnham, Dublin 14, Ireland",Residential,,Multiple,PwC,www.pwc.com/ie
Rathbourne,Ashtown,Dublin 15,Ireland,"Rathbourne, Ashtown, Dublin 15, Ireland",Residential,,Multiple,Mazars,www.mazars.ie
Rathbourne,Ashtown,Dublin 15,Ireland,"Rathbourne, Ashtown, Dublin 15, Ireland",Development - Not Commenced,,,Mazars,www.mazars.ie
"Certain Assets of
Grove Court",Blanchardstown,Dublin 15,Ireland,"Certain Assets of
Grove Court, Blanchardstown, Dublin 15, Ireland",Mixed Use,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Ballycoolin Road,Blanchardstown,Dublin 15,Ireland,"Ballycoolin Road, Blanchardstown, Dublin 15, Ireland",Development - Not Commenced,,,PwC,www.pwc.com/ie
"Priorstown House,
Scribblestown",Castleknock,Dublin 15,Ireland,"Priorstown House,
Scribblestown, Castleknock, Dublin 15, Ireland",Development - Not Commenced,,,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Chesterfield Grove,Castleknock,Dublin 15,Ireland,"Chesterfield Grove, Castleknock, Dublin 15, Ireland",Residential,,Single,Ferris & Associates,N/A
"Coolmine Enterprise
Centre",Castleknock,Dublin 15,Ireland,"Coolmine Enterprise
Centre, Castleknock, Dublin 15, Ireland",Office,,Single,Ferris & Associates,N/A
Hollywoodrath,Hollystown,Dublin 15,Ireland,"Hollywoodrath, Hollystown, Dublin 15, Ireland",Development - Not Commenced,,,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Three units,Keypoint Business Park,Dublin 15,Ireland,"Three units, Keypoint Business Park, Dublin 15, Ireland",Industrial,,Multiple,McStay Luby,N/A
"Old Quarry Industrial
Park","Northwest Business
Park",Dublin 15,Ireland,"Old Quarry Industrial
Park, Northwest Business
Park, Dublin 15, Ireland",Industrial,,Single,McStay Luby,N/A
"Ballintyre Hall and
Ballintyre House",Ballinteer,Dublin 16,Ireland,"Ballintyre Hall and
Ballintyre House, Ballinteer, Dublin 16, Ireland",Residential,,Multiple,Grant Thornton,www.grantthornton.ie
"Certain Assets at
Newtown Industrial
Estate",Coolock,Dublin 17,Ireland,"Certain Assets at
Newtown Industrial
Estate, Coolock, Dublin 17, Ireland",Industrial,,Multiple,Ferris & Associates,N/A
"Certain Assets at
Malahide Road
Industrial Park",Coolock,Dublin 17,Ireland,"Certain Assets at
Malahide Road
Industrial Park, Coolock, Dublin 17, Ireland",Industrial,,Multiple,Ferris & Associates,N/A
Chivers,Coolock Drive,Dublin 17,Ireland,"Chivers, Coolock Drive, Dublin 17, Ireland",Development - Not Commenced,,,Deloitte,www.deloitte.com/ie
Greencastle,Malahide Road,Dublin 17,Ireland,"Greencastle, Malahide Road, Dublin 17, Ireland",Development - Not Commenced,,,Deloitte,www.deloitte.com/ie
Glenamuck Road,Carrickmines,Dublin 18,Ireland,"Glenamuck Road, Carrickmines, Dublin 18, Ireland",Residential,,Single,Knight Frank Ireland,www.knightfrank.ie
Carrickmines Green,Carrickmines,Dublin 18,Ireland,"Carrickmines Green, Carrickmines, Dublin 18, Ireland",Development - Commenced,,,McStay Luby,N/A
The Observe,"Corrig Road, Sandyford",Dublin 18,Ireland,"The Observe, Corrig Road, Sandyford, Dublin 18, Ireland",Industrial,,Single,Mazars,www.mazars.ie
Carrickmines Manor,Glenamuck Road,Dublin 18,Ireland,"Carrickmines Manor, Glenamuck Road, Dublin 18, Ireland",Mixed Use,,Multiple,Grant Thornton,www.grantthornton.ie
Carrickmines Lands,Glenamuck Road,Dublin 18,Ireland,"Carrickmines Lands, Glenamuck Road, Dublin 18, Ireland",Development - Not Commenced,,,Grant Thornton,www.grantthornton.ie
Murphystown Road,Sandyford,Dublin 18,Ireland,"Murphystown Road, Sandyford, Dublin 18, Ireland",Residential,,Single,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Rockbrook,Sandyford,Dublin 18,Ireland,"Rockbrook, Sandyford, Dublin 18, Ireland",Development - Commenced,,,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
"Beacon South
Quarter",Sandyford,Dublin 18,Ireland,"Beacon South
Quarter, Sandyford, Dublin 18, Ireland",Mixed Use,,Multiple,Mazars,www.mazars.ie
"Beacon South
Quarter",Sandyford,Dublin 18,Ireland,"Beacon South
Quarter, Sandyford, Dublin 18, Ireland",Development - Commenced,,,Mazars,www.mazars.ie
"Beacon South
Quarter",Sandyford,Dublin 18,Ireland,"Beacon South
Quarter, Sandyford, Dublin 18, Ireland",Development - Not Commenced,,,Mazars,www.mazars.ie
Carmanhall Road,Sandyford,Dublin 18,Ireland,"Carmanhall Road, Sandyford, Dublin 18, Ireland",Development - Not Commenced,,,PwC,www.pwc.com/ie
Tallaght Cross West,Tallaght,Dublin 18,Ireland,"Tallaght Cross West, Tallaght, Dublin 18, Ireland",Mixed Use,,Multiple,kavanaghfennell,www.kavanaghfennell.ie
Maldron Hotel,Cardiff Lane,Dublin 2,Ireland,"Maldron Hotel, Cardiff Lane, Dublin 2, Ireland",Hotel,,Multiple,KPMG,www.kpmg.ie
"Charlemont
Exchange",Charlemont Street,Dublin 2,Ireland,"Charlemont
Exchange, Charlemont Street, Dublin 2, Ireland",Office,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Chatham House,Chatham Street,Dublin 2,Ireland,"Chatham House, Chatham Street, Dublin 2, Ireland",Mixed Use,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
"Certain Assets of
Chatham Court",Chatham Street,Dublin 2,Ireland,"Certain Assets of
Chatham Court, Chatham Street, Dublin 2, Ireland",Mixed Use,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
"Certain Assets of
Westbury Mall",Off Grafton Street,Dublin 2,Ireland,"Certain Assets of
Westbury Mall, Off Grafton Street, Dublin 2, Ireland",Retail,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Castlemarket,South William Street,Dublin 2,Ireland,"Castlemarket, South William Street, Dublin 2, Ireland",Retail,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Ormond Quay,,Dublin 2,Ireland,"Ormond Quay, Dublin 2, Ireland",Hotel,,Single,Ferris & Associates,N/A
Parliament Street,,Dublin 2,Ireland,"Parliament Street, Dublin 2, Ireland",Mixed Use,,Multiple,Ferris & Associates,N/A
St Stephens Green,,Dublin 2,Ireland,"St Stephens Green, Dublin 2, Ireland",Development - Commenced,,,Ferris & Associates,N/A
Great Strand Street,,Dublin 2,Ireland,"Great Strand Street, Dublin 2, Ireland",Other,Warehouse,Single,Ferris & Associates,N/A
Grafton Street,,Dublin 2,Ireland,"Grafton Street, Dublin 2, Ireland",Retail,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
South William Street,,Dublin 2,Ireland,"South William Street, Dublin 2, Ireland",Retail,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Clarendon Street,,Dublin 2,Ireland,"Clarendon Street, Dublin 2, Ireland",Retail,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Grafton Street,,Dublin 2,Ireland,"Grafton Street, Dublin 2, Ireland",Retail,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Stephen's Green,,Dublin 2,Ireland,"Stephen's Green, Dublin 2, Ireland",Office,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
College Green,,Dublin 2,Ireland,"College Green, Dublin 2, Ireland",Mixed Use,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Clarendon Street,,Dublin 2,Ireland,"Clarendon Street, Dublin 2, Ireland",Mixed Use,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Clarendon Street,,Dublin 2,Ireland,"Clarendon Street, Dublin 2, Ireland",Public House,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
South William Street,,Dublin 2,Ireland,"South William Street, Dublin 2, Ireland",Retail,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
South William Street,,Dublin 2,Ireland,"South William Street, Dublin 2, Ireland",Retail,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
South William Street,,Dublin 2,Ireland,"South William Street, Dublin 2, Ireland",Mixed Use,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Balfe Street,,Dublin 2,Ireland,"Balfe Street, Dublin 2, Ireland",Retail,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
South William Street,,Dublin 2,Ireland,"South William Street, Dublin 2, Ireland",Public House,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Coppinger Row,,Dublin 2,Ireland,"Coppinger Row, Dublin 2, Ireland",Mixed Use,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
South Georges Street,,Dublin 2,Ireland,"South Georges Street, Dublin 2, Ireland",Mixed Use,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
South William Street,,Dublin 2,Ireland,"South William Street, Dublin 2, Ireland",Retail,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Drury Street,,Dublin 2,Ireland,"Drury Street, Dublin 2, Ireland",Retail,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Drury Street,,Dublin 2,Ireland,"Drury Street, Dublin 2, Ireland",Retail,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Suffolk Street,,Dublin 2,Ireland,"Suffolk Street, Dublin 2, Ireland",Mixed Use,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Chatham Street,,Dublin 2,Ireland,"Chatham Street, Dublin 2, Ireland",Mixed Use,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
"Certain Assets of
Chatham Court",,Dublin 2,Ireland,"Certain Assets of
Chatham Court, Dublin 2, Ireland",Residential,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Drury Street,,Dublin 2,Ireland,"Drury Street, Dublin 2, Ireland",Retail,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
South William Street,,Dublin 2,Ireland,"South William Street, Dublin 2, Ireland",Office,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Ely Place,,Dublin 2,Ireland,"Ely Place, Dublin 2, Ireland",Office,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Clarendon Street,,Dublin 2,Ireland,"Clarendon Street, Dublin 2, Ireland",Mixed Use,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Balfe Street,,Dublin 2,Ireland,"Balfe Street, Dublin 2, Ireland",Retail,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Clarendon Street,,Dublin 2,Ireland,"Clarendon Street, Dublin 2, Ireland",Mixed Use,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
South William Street,,Dublin 2,Ireland,"South William Street, Dublin 2, Ireland",Mixed Use,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Merrion Square,,Dublin 2,Ireland,"Merrion Square, Dublin 2, Ireland",Office,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Fitzwilliam Square,,Dublin 2,Ireland,"Fitzwilliam Square, Dublin 2, Ireland",Office,,Multiple,Knight Frank Ireland,www.knightfrank.ie
Unit at Grafton St,,Dublin 2,Ireland,"Unit at Grafton St, Dublin 2, Ireland",Retail,,Single,BDO Ireland,www.bdo.ie
"Cerain units at St
Stephens Green",,Dublin 2,Ireland,"Cerain units at St
Stephens Green, Dublin 2, Ireland",Office,,Multiple,BDO Ireland,www.bdo.ie
Fitzwilliam Square,,Dublin 2,Ireland,"Fitzwilliam Square, Dublin 2, Ireland",Office,,Multiple,BDO Ireland,www.bdo.ie
Parliament Street,,Dublin 2,Ireland,"Parliament Street, Dublin 2, Ireland",Development - Commenced,,,Ferris & Associates,N/A
Chatham Row,,Dublin 2,Ireland,"Chatham Row, Dublin 2, Ireland",Retail,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
South William Street,,Dublin 2,Ireland,"South William Street, Dublin 2, Ireland",Retail,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
South William Street,,Dublin 2,Ireland,"South William Street, Dublin 2, Ireland",Office,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
"Certain Residential
Units at The Island",Chapelizod,Dublin 20,Ireland,"Certain Residential
Units at The Island, Chapelizod, Dublin 20, Ireland",Residential,,Multiple,PwC,www.pwc.com/ie
"St.
Edmund's",Palmerstown,Dublin 20,Ireland,"St.
Edmund's, Palmerstown, Dublin 20, Ireland",Residential,,Multiple,Grant Thornton,www.grantthornton.ie
Clarion Hotel,Liffey Valley,Dublin 22,Ireland,"Clarion Hotel, Liffey Valley, Dublin 22, Ireland",Hotel,,Single,KPMG,www.kpmg.ie
Corkagh Park,Naas Road,Dublin 22,Ireland,"Corkagh Park, Naas Road, Dublin 22, Ireland",Industrial,,Single,kavanaghfennell,www.kavanaghfennell.ie
Corkagh Park,Naas Road,Dublin 23,Ireland,"Corkagh Park, Naas Road, Dublin 23, Ireland",Agricultural Land,,,kavanaghfennell,www.kavanaghfennell.ie
Airton Road,Tallaght,Dublin 24,Ireland,"Airton Road, Tallaght, Dublin 24, Ireland",Industrial,,Single,BDO,www.bdo.ie
Belgard Road,Tallaght,Dublin 24,Ireland,"Belgard Road, Tallaght, Dublin 24, Ireland",Development - Not Commenced,,,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
"Certain Assets at
Clontarf Bay",Clontarf Road,Dublin 3,Ireland,"Certain Assets at
Clontarf Bay, Clontarf Road, Dublin 3, Ireland",Mixed Use,,Multiple,Ferris & Associates,N/A
Strandville Ave,North Strand Road,Dublin 3,Ireland,"Strandville Ave, North Strand Road, Dublin 3, Ireland",Residential,,Single,Ferris & Associates,N/A
Hibernian Ave,North Strand Road,Dublin 3,Ireland,"Hibernian Ave, North Strand Road, Dublin 3, Ireland",Residential,,Single,Ferris & Associates,N/A
"Certain Assets at
Aldborough Court,
Five Lamps",North Strand Road,Dublin 3,Ireland,"Certain Assets at
Aldborough Court,
Five Lamps, North Strand Road, Dublin 3, Ireland",Mixed Use,,Multiple,Ferris & Associates,N/A
"Certain Assets at
North Strand Road",,Dublin 3,Ireland,"Certain Assets at
North Strand Road, Dublin 3, Ireland",Residential,,Single,Ferris & Associates,N/A
"Certain Assets at
Dunne St/North
Great Clarence Street",,Dublin 3,Ireland,"Certain Assets at
Dunne St/North
Great Clarence Street, Dublin 3, Ireland",Mixed Use,,Multiple,Ferris & Associates,N/A
"Northumberland
Road",Ballsbridge,Dublin 4,Ireland,"Northumberland
Road, Ballsbridge, Dublin 4, Ireland",Retail,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
"Booterstown Marsh,
Merrion Road",Ballsbridge,Dublin 4,Ireland,"Booterstown Marsh,
Merrion Road, Ballsbridge, Dublin 4, Ireland",Development - Not Commenced,,,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Merrion Road,Ballsbridge,Dublin 4,Ireland,"Merrion Road, Ballsbridge, Dublin 4, Ireland",Mixed Use,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
"Veterinary College
Site UCD",Ballsbridge,Dublin 4,Ireland,"Veterinary College
Site UCD, Ballsbridge, Dublin 4, Ireland",Development - Not Commenced,,,Grant Thornton,www.grantthornton.ie
Elgin Road,Ballsbridge,Dublin 4,Ireland,"Elgin Road, Ballsbridge, Dublin 4, Ireland",Residential,,Single,Knight Frank Ireland,www.knightfrank.ie
Raglan Road,Ballsbridge,Dublin 4,Ireland,"Raglan Road, Ballsbridge, Dublin 4, Ireland",Office,,Single,Knight Frank Ireland,www.knightfrank.ie
Ailesbury Road,Ballsbridge,Dublin 4,Ireland,"Ailesbury Road, Ballsbridge, Dublin 4, Ireland",Residential,,Single,Knight Frank Ireland,www.knightfrank.ie
Ailesbury Wood,Ballsbridge,Dublin 4,Ireland,"Ailesbury Wood, Ballsbridge, Dublin 4, Ireland",Residential,,Single,Knight Frank Ireland,www.knightfrank.ie
Merrion Road,Ballsbridge,Dublin 4,Ireland,"Merrion Road, Ballsbridge, Dublin 4, Ireland",Residential,,Multiple,Mazars,www.mazars.ie
Pembroke Road,Ballsbridge,Dublin 4,Ireland,"Pembroke Road, Ballsbridge, Dublin 4, Ireland",Mixed Use,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Grand Mill Quay,Barrow Street,Dublin 4,Ireland,"Grand Mill Quay, Barrow Street, Dublin 4, Ireland",Office,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
"Single Apartment at
Millenium Tower and
car spaces",Charlotte Quay Dock,Dublin 4,Ireland,"Single Apartment at
Millenium Tower and
car spaces, Charlotte Quay Dock, Dublin 4, Ireland",Residential,,Single,PwC,www.pwc.com/ie
The Elms,Donnybrook,Dublin 4,Ireland,"The Elms, Donnybrook, Dublin 4",Residential,,Single,Knight Frank Ireland,www.knightfrank.ie
South Bank Road,Ringsend,Dublin 4,Ireland,"South Bank Road, Ringsend, Dublin 4,	Ireland",Development - Not Commenced,,,PwC,www.pwc.com/ie
"Certain Houses at
South Lotts Road",Ringsend,Dublin 4,Ireland,"Certain Houses at South Lotts Road, Dublin 4, Ireland",Residential,,Single,PwC,www.pwc.com/ie
"Certain houses at
Barrow Street",Ringsend,Dublin 4,Ireland,"Certain houses at
Barrow Street, Ringsend, Dublin 4, Ireland",Residential,,Multiple,PwC,www.pwc.com/ie
"Single House at
Ropewalk Mews",Ringsend,Dublin 4,Ireland,"Single House at
Ropewalk Mews, Ringsend, Dublin 4, Ireland",Residential,,Single,PwC,www.pwc.com/ie
Shelbourne Hall,Shelbourne Lane,Dublin 4,Ireland,"Shelbourne Hall, Shelbourne Lane, Dublin 4, Ireland",Residential,,Multiple,BDO Ireland,www.bdo.ie
Shelbourne Court,Shelbourne Road,Dublin 4,Ireland,"Shelbourne Court, Shelbourne Road, Dublin 4, Ireland",Mixed Use,,Multiple,BDO Ireland,www.bdo.ie
Upper Leeson Street,,Dublin 4,Ireland,"Upper Leeson Street, Dublin 4, Ireland",Office,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Merrion Road,,Dublin 4,Ireland,"Merrion Road, Dublin 4, Ireland",Residential,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Merrion Road,,Dublin 4,Ireland,"Merrion Road, Dublin 4, Ireland",Residential,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Merrion Road,,Dublin 4,Ireland,"Merrion Road, Dublin 4, Ireland",Residential,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Pembroke Road,,Dublin 4,Ireland,"Pembroke Road, Dublin 4, Ireland",Office,,Multiple,BDO Ireland,www.bdo.ie
Pembroke Road,,Dublin 4,Ireland,"Pembroke Road, Dublin 4, Ireland",Residential,,Multiple,BDO Ireland,www.bdo.ie
Shelbourne Road,,Dublin 4,Ireland,"Shelbourne Road, Dublin 4, Ireland",Mixed Use,,Multiple,BDO Ireland,www.bdo.ie
"Lower Beechwood
Avenue",Rathgar,Dublin 6,Ireland,"Lower Beechwood
Avenue, Rathgar, Dublin 6, Ireland",Residential,,Single,Ferris & Associates,N/A
Garville Avenue,Rathgar,Dublin 6,Ireland,"Garville Avenue, Rathgar, Dublin 6, Ireland",Residential,,Single,Ferris & Associates,N/A
"Former Rowan's
Bakery site",Rathmines,Dublin 6,Ireland,"Former Rowan's
Bakery site, Rathmines, Dublin 6, Ireland",Development - Not Commenced,,,Grant Thornton,www.grantthornton.ie
"Lower Rathmines
Road",Rathmines,Dublin 6,Ireland,"Lower Rathmines
Road, Rathmines, Dublin 6, Ireland",Public House,,Single,kavanaghfennell,www.kavanaghfennell.ie
"Lower Rathmines
Road",Rathmines,Dublin 6,Ireland,"Lower Rathmines
Road, Rathmines, Dublin 6, Ireland",Residential,,Multiple,kavanaghfennell,www.kavanaghfennell.ie
Grosvenor Square,Rathmines,Dublin 6,Ireland,"Grosvenor Square, Rathmines, Dublin 6, Ireland",Residential,,Single,Knight Frank Ireland,www.knightfrank.ie
Grosvenor Mews,Rathmines,Dublin 6,Ireland,"Grosvenor Mews, Rathmines, Dublin 6, Ireland",Residential,,Multiple,Knight Frank Ireland,www.knightfrank.ie
"Brunswick Street
North",Georges Lane,Dublin 7,Ireland,"Brunswick Street
North, Georges Lane, Dublin 7, Ireland",Office,,Single,Deloitte,www.deloitte.com/ie
Capel Building,Mary's Abbey,Dublin 7,Ireland,"Capel Building, Mary's Abbey, Dublin 7, Ireland",Retail,,Multiple,BDO,www.bdo.ie
"Certain Residential
Units at Smithfield
Lofts",North King Street,Dublin 7,Ireland,"Certain Residential
Units at Smithfield
Lofts, North King Street, Dublin 7, Ireland",Residential,,Multiple,PwC,www.pwc.com/ie
"Certain Commercial
Units at Smithfield
Lofts",North King Street,Dublin 7,Ireland,"Certain Commercial
Units at Smithfield
Lofts, North King Street, Dublin 7, Ireland",Mixed Use,,Multiple,PwC,www.pwc.com/ie
"Apartment on
Smithfield Market",Smithfield,Dublin 7,Ireland,"Apartment on
Smithfield Market, Smithfield, Dublin 7, Ireland",Residential,,Single,Grant Thornton,www.grantthornton.ie
"Single Office building
at Red Cow Lane",Smithfield,Dublin 7,Ireland,"Single Office building
at Red Cow Lane, Smithfield, Dublin 7, Ireland",Office,,Single,PwC,www.pwc.com/ie
"Single Commercial
Unit at Smithfield
Gate",Smithfield,Dublin 7,Ireland,"Single Commercial
Unit at Smithfield
Gate, Smithfield, Dublin 7, Ireland",Retail,,Single,PwC,www.pwc.com/ie
Arbour Hill,Stoneybatter,Dublin 7,Ireland,"Arbour Hill, Stoneybatter, Dublin 7, Ireland",Residential,,Single,Ferris & Associates,N/A
Arbour Hill,Stoneybatter,Dublin 7,Ireland,"Arbour Hill, Stoneybatter, Dublin 7, Ireland",Residential,,Single,Ferris & Associates,N/A
Arran Quay,,Dublin 7,Ireland,"Arran Quay, Dublin 7, Ireland",Office,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Capel Street,,Dublin 7,Ireland,"Capel Street, Dublin 7, Ireland",Public House,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
North King Street,,Dublin 7,Ireland,"North King Street, Dublin 7, Ireland",Development - Not Commenced,,,PwC,www.pwc.com/ie
"Single Apartment at
Cork Street",,Dublin 8,Ireland,"Single Apartment at
Cork Street, Dublin 8, Ireland",Residential,,Single,PwC,www.pwc.com/ie
"Certain Residential
Units at The
Barleyhouse",Cork Street,Dublin 8,Ireland,"Certain Residential Units at The
Barleyhouse, Cork Street, Dublin 8, Ireland",Residential,,Multiple,PwC,www.pwc.com/ie
"Single Apartment at
Kilmainham Bank",Emmet Road,Dublin 8,Ireland,"Single Apartment at
Kilmainham Bank, Emmet Road, Dublin 8, Ireland",Residential,,Single,PwC,www.pwc.com/ie
Single Creche Unit,Emmet Road,Dublin 8,Ireland,"Single Creche Unit, Emmet Road, Dublin 8, Ireland",Development - Commenced,,,PwC,www.pwc.com/ie
Apartment,Francis Street,Dublin 8,Ireland,"Apartment, Francis Street, Dublin 8, Ireland",Residential,,Single,Grant Thornton,www.grantthornton.ie
Hanbury Mews,Hanbury Lane,Dublin 8,Ireland,"Hanbury Mews, Hanbury Lane, Dublin 8, Ireland",Residential,,Multiple,PwC,www.pwc.com/ie
"Certain Residential
Units at Bellevue",Islandbridge,Dublin 8,Ireland,"Certain Residential Units at Bellevue, Islandbridge, Dublin 8, Ireland",Residential,,Multiple,PwC,www.pwc.com/ie
"Single Commercial
Unit at Bellevue",Islandbridge,Dublin 8,Ireland,"Single Commercial
Unit at Bellevue, Islandbridge, Dublin 8, Ireland",Development - Commenced,,,PwC,www.pwc.com/ie
Old Kilmainham Mill,Kilmainham,Dublin 8,Ireland,"Old Kilmainham Mill, Kilmainham, Dublin 8, Ireland",Development - Not Commenced,,,McStay Luby,N/A
Adelaide Chambers,Peter Street,Dublin 8,Ireland,"Adelaide Chambers, Peter Street, Dublin 8, Ireland",Office,,Multiple,BDO,www.bdo.ie
Adelaide Square,Whitefriar Street,Dublin 8,Ireland,"Adelaide Square, Whitefriar Street, Dublin 8, Ireland",Residential,,Multiple,BDO,www.bdo.ie
Alexandra Walk,Whitefriar Street,Dublin 8,Ireland,"Alexandra Walk, Whitefriar Street, Dublin 8, Ireland",Residential,,Multiple,BDO,www.bdo.ie
"Creche - Alexandra
Walk",Whitefriar Street,Dublin 8,Ireland,"Creche - Alexandra
Walk, Whitefriar Street, Dublin 8, Ireland",Other,Creche,Single,BDO,www.bdo.ie
Augustine Street,,Dublin 8,Ireland,"Augustine Street, Dublin 8, Ireland",Residential,,Multiple,Deloitte,www.deloitte.com/ie
Thomas Street,,Dublin 8,Ireland,"Thomas Street, Dublin 8, Ireland",Retail,,Single,PwC,www.pwc.com/ie
